AAAA,SEMESTRE,VICTIMAS,SEMESTRE_ANT,TASA_VICTIMAS,TASA_SEMESTRE_ANT,VARIACION_TASAS,FECHA
2016,1,63,0,2.0188347670264677,0.0,inf,2016-01-01
2016,6,78,63,2.499509711556579,2.0188347670264677,23.809523809523817,2016-06-01
2017,1,59,78,1.8906547818184383,2.499509711556579,-24.358974358974354,2017-01-01
2017,6,63,59,2.0188347670264677,1.8906547818184383,6.779661016949137,2017-06-01
2018,1,64,63,2.050879763328475,2.0188347670264677,1.587301587301592,2018-01-01
2018,6,73,64,2.339284730046542,2.050879763328475,14.0625,2018-06-01
2019,1,55,73,1.7624747966104084,2.339284730046542,-24.65753424657534,2019-01-01
2019,6,47,55,1.506114826194349,1.7624747966104084,-14.54545454545454,2019-06-01
2020,1,31,47,0.9933948853622302,1.506114826194349,-34.04255319148937,2020-01-01
2020,6,44,31,1.4099798372883268,0.9933948853622302,41.935483870967744,2020-06-01
2021,1,55,44,1.7624747966104084,1.4099798372883268,24.999999999999996,2021-01-01
2021,6,42,55,1.345889844684312,1.7624747966104084,-23.636363636363633,2021-06-01
