,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,FRANJA_H,TIPO_DE_CALLE,COMUNA,POS_X,POS_Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA
0,2016-0001,1,2016-01-01,2016,1,1,04:00:00,4,AVENIDA,8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,MASCULINO,19,2016-01-01 00:00:00,Viernes
1,2016-0002,1,2016-01-02,2016,1,2,01:15:00,1,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,70,2016-01-02 00:00:00,Sábado
2,2016-0003,1,2016-01-03,2016,1,3,07:00:00,7,AVENIDA,1,-58.39040293,-34.63189362,MOTO,AUTO,CONDUCTOR,MASCULINO,30,2016-01-03 00:00:00,Domingo
3,2016-0004,1,2016-01-10,2016,1,10,00:00:00,0,AVENIDA,8,-58.46503904,-34.68092974,MOTO,SD,CONDUCTOR,MASCULINO,18,SD,Domingo
4,2016-0005,1,2016-01-21,2016,1,21,05:20:00,5,AVENIDA,1,-58.38718297,-34.62246630,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,2016-02-01 00:00:00,Jueves
5,2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,AVENIDA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,2016-01-24 00:00:00,Domingo
6,2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,CALLE,11,-58.50095869,-34.60825440,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26 00:00:00,Domingo
7,2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,MASCULINO,18,2016-01-29 00:00:00,Viernes
8,2016-0012,1,2016-02-08,2016,2,8,01:20:00,1,AVENIDA,1,-58.38048577,-34.61303893,MOTO,CARGAS,CONDUCTOR,MASCULINO,22,2016-02-08 00:00:00,Lunes
9,2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,AVENIDA,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,MASCULINO,16,2016-02-10 00:00:00,Miércoles
10,2016-0015,1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,15,-58.43760020,-34.59912758,PEATON,AUTO,PEATON,FEMENINO,16,2016-02-14 00:00:00,Domingo
11,2016-0016,1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,4,-58.36882665,-34.64291993,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14 00:00:00,Domingo
12,2016-0017,1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,8,-58.44989671,-34.65970435,PEATON,MOTO,PEATON,MASCULINO,59,2016-02-16 00:00:00,Lunes
13,2016-0019,1,2016-02-17,2016,2,17,09:30:00,9,CALLE,9,-58.50990884,-34.65468721,PEATON,PASAJEROS,PEATON,FEMENINO,65,2016-02-17 00:00:00,Miércoles
14,2016-0020,1,2016-02-17,2016,2,17,16:00:00,16,CALLE,1,-58.37952223,-34.60653282,PEATON,AUTO,PEATON,MASCULINO,59,2016-03-02 00:00:00,Miércoles
15,2016-0021,1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,7,-58.45157703,-34.63063795,AUTO,AUTO,CONDUCTOR,MASCULINO,34,2016-02-17 00:00:00,Miércoles
16,2016-0022,1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,1,-58.38144696,-34.61079875,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41,SD,Domingo
17,2016-0025,1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28 00:00:00,Domingo
18,2016-0026,1,2016-02-28,2016,2,28,07:30:00,7,CALLE,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,2016-03-04 00:00:00,Domingo
19,2016-0027,1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,7,-58.44497874,-34.63852623,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,SD,Domingo
20,2016-0028,1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,MASCULINO,50,2016-03-02 00:00:00,Miércoles
21,2016-0029,1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,PEATON,MASCULINO,38,2016-03-04 00:00:00,Viernes
22,2016-0031,1,2016-03-08,2016,3,8,12:30:00,12,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,SD,Martes
23,2016-0034,1,2016-03-12,2016,3,12,12:30:00,12,AVENIDA,4,-58.40623949,-34.65076549,PEATON,PASAJEROS,PEATON,MASCULINO,52,2016-03-12 00:00:00,Sábado
24,2016-0035,1,2016-03-13,2016,3,13,06:00:00,6,AVENIDA,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34,2016-03-13 00:00:00,Domingo
25,2016-0036,1,2016-03-14,2016,3,14,00:15:00,0,CALLE,4,-58.37813396,-34.63668504,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14 00:00:00,Lunes
26,2016-0037,1,2016-03-19,2016,3,19,11:00:00,11,AVENIDA,7,-58.46275892,-34.64358293,MOTO,MOTO,CONDUCTOR,MASCULINO,20,2016-03-19 00:00:00,Sábado
27,2016-0038,1,2016-03-21,2016,3,21,08:06:00,8,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON,PASAJEROS,PEATON,MASCULINO,29,2016-03-21 00:00:00,Lunes
28,2016-0039,1,2016-03-23,2016,3,23,01:50:00,1,AVENIDA,3,-58.40603217,-34.60883960,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20,2016-03-23 00:00:00,Miércoles
29,2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AVENIDA,7,-58.46076550,-34.63350444,MOTO,CARGAS,CONDUCTOR,MASCULINO,54,2016-03-29 00:00:00,Martes
30,2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AVENIDA,7,-58.46076550,-34.63350444,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,SD,2016-03-30 00:00:00,Martes
31,2016-0043,1,2016-03-30,2016,3,30,18:15:00,18,AVENIDA,8,-58.47832463,-34.67494416,PEATON,CARGAS,PEATON,FEMENINO,56,2016-03-30 00:00:00,Miércoles
32,2016-0044,1,2016-03-31,2016,3,31,19:40:00,19,AVENIDA,7,-58.43213235,-34.63693953,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,24,2016-03-31 00:00:00,Jueves
33,2016-0045,1,2016-04-11,2016,4,11,10:25:00,10,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,SD,CONDUCTOR,MASCULINO,SD,SD,Lunes
34,2016-0047,1,2016-04-15,2016,4,15,05:30:00,5,CALLE,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,PEATON,MASCULINO,41,2016-04-15 00:00:00,Viernes
35,2016-0048,1,2016-04-15,2016,4,15,17:40:00,17,AVENIDA,15,-58.44759966,-34.59170240,PEATON,PASAJEROS,PEATON,FEMENINO,SD,SD,Viernes
36,2016-0049,1,2016-04-17,2016,4,17,00:00:00,0,AUTOPISTA,4,-58.37714647568196,-34.63657525428238,SD,SD,SD,SD,SD,SD,Domingo
37,2016-0050,1,2016-04-19,2016,4,19,09:50:00,9,AVENIDA,8,-58.47305463,-34.68550712,PEATON,PASAJEROS,PEATON,MASCULINO,78,2016-04-19 00:00:00,Martes
38,2016-0051,1,2016-04-20,2016,4,20,04:00:00,4,AVENIDA,4,-58.40623949,-34.65076549,MOTO,CARGAS,CONDUCTOR,MASCULINO,36,2016-04-20 00:00:00,Miércoles
39,2016-0052,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA,13,.,.,MOTO,SD,SD,SD,SD,SD,Miércoles
40,2016-0053,1,2016-04-22,2016,4,22,09:30:00,9,AVENIDA,12,-58.48429180,-34.57558053,PEATON,PASAJEROS,PEATON,MASCULINO,38,2016-04-22 00:00:00,Viernes
41,2016-0054,1,2016-04-23,2016,4,23,21:00:00,21,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO,MOTO,CONDUCTOR,MASCULINO,30,2016-04-25 00:00:00,Sábado
42,2016-0055,1,2016-04-25,2016,4,25,20:30:00,20,AVENIDA,14,-58.40021959,-34.57964781,PEATON,CARGAS,PEATON,MASCULINO,79,2016-04-28 00:00:00,Lunes
43,2016-0056,1,2016-04-26,2016,4,26,04:45:00,4,AVENIDA,14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,26,2016-04-26 00:00:00,Martes
44,2016-0058,1,2016-05-04,2016,5,4,14:00:00,14,CALLE,1,-58.38247542,-34.62556293,PEATON,MOTO,PEATON,FEMENINO,57,2016-05-08 00:00:00,Miércoles
45,2016-0059,1,2016-05-08,2016,5,8,16:30:00,16,CALLE,1,-58.38222219,-34.62728101,PEATON,PASAJEROS,PEATON,MASCULINO,37,2016-05-26 00:00:00,Domingo
46,2016-0064,1,2016-05-14,2016,5,14,18:11:00,18,AVENIDA,10,-58.49485242,-34.62953445,PEATON,PASAJEROS,PEATON,MASCULINO,20,SD,Sábado
47,2016-0065,1,2016-05-20,2016,5,20,14:40:00,14,AVENIDA,6,-58.45227946,-34.61068024,PEATON,AUTO,PEATON,MASCULINO,20,2016-05-20 00:00:00,Viernes
48,2016-0067,1,2016-05-21,2016,5,21,17:00:00,17,AVENIDA,8,-58.48455411,-34.67512760,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,30,SD,Sábado
49,2016-0068,1,2016-05-22,2016,5,22,22:00:00,22,AVENIDA,2,-58.39056593,-34.58418569,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,58,SD,Domingo
50,2016-0069,1,2016-05-23,2016,5,23,03:30:00,3,AVENIDA,3,-58.39118948,-34.62704273,AUTO,CARGAS,CONDUCTOR,MASCULINO,30,2016-05-23 00:00:00,Lunes
51,2016-0073,1,2016-06-11,2016,6,11,15:00:00,15,CALLE,10,-58.49021952,-34.62025108,MOTO,CARGAS,CONDUCTOR,MASCULINO,23,SD,Sábado
52,2016-0074,1,2016-06-12,2016,6,12,06:40:00,6,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO,AUTO,CONDUCTOR,MASCULINO,60,SD,Domingo
53,2016-0075,1,2016-06-12,2016,6,12,23:13:00,23,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON,AUTO,PEATON,MASCULINO,42,2016-06-12 00:00:00,Domingo
54,2016-0076,1,2016-06-13,2016,6,13,16:20:00,16,AVENIDA,15,-58.46210891,-34.60356211,PEATON,PASAJEROS,PEATON,FEMENINO,53,2016-06-13 00:00:00,Lunes
55,2016-0077,1,2016-06-13,2016,6,13,21:52:00,21,AVENIDA,1,-58.37027770,-34.60536123,PEATON,PASAJEROS,PEATON,FEMENINO,SD,SD,Lunes
56,2016-0078,1,2016-06-13,2016,6,13,23:01:00,23,AVENIDA,3,-58.40491455,-34.61463830,MOTO,MOTO,CONDUCTOR,MASCULINO,30,SD,Lunes
57,2016-0079,1,2016-06-16,2016,6,16,17:13:00,17,AVENIDA,13,-58.45504154,-34.54864492,AUTO,AUTO,CONDUCTOR,FEMENINO,51,SD,Jueves
58,2016-0080,1,2016-06-18,2016,6,18,06:42:00,6,GRAL PAZ,9,-58.52927982,-34.63931752,AUTO,SD,CONDUCTOR,MASCULINO,60,SD,Sábado
59,2016-0081,1,2016-06-22,2016,6,22,07:42:00,7,AVENIDA,12,-58.48721060,-34.55904606,MOTO,AUTO,CONDUCTOR,MASCULINO,40,SD,Miércoles
60,2016-0082,1,2016-06-27,2016,6,27,18:24:00,18,AVENIDA,4,-58.42273092,-34.64228803,PEATON,AUTO,PEATON,MASCULINO,87,2016-07-05 00:00:00,Lunes
61,2016-0083,1,2016-06-28,2016,6,28,20:46:00,20,AVENIDA,6,-58.44788671,-34.62539009,PEATON,MOTO,PEATON,FEMENINO,76,2016-06-29 00:00:00,Martes
62,2016-0084,1,2016-06-29,2016,6,29,22:00:00,22,CALLE,1,-58.38110563,-34.60135531,PEATON,PASAJEROS,PEATON,MASCULINO,57,2016-07-08 00:00:00,Miércoles
63,2016-0085,1,2016-06-29,2016,6,29,22:00:00,22,AVENIDA,4,-58.42378834,-34.65734100,MOTO,OTRO,SD,MASCULINO,SD,SD,Miércoles
64,2016-0086,1,2016-06-30,2016,6,30,16:10:00,16,AVENIDA,10,-58.48727942,-34.63652467,PEATON,PASAJEROS,PEATON,MASCULINO,75,2016-07-01 00:00:00,Jueves
65,2016-0088,1,2016-07-11,2016,7,11,15:30:00,15,CALLE,12,-58.50151750,-34.56767549,PEATON,AUTO,PEATON,FEMENINO,70,2016-07-14 00:00:00,Lunes
66,2016-0089,1,2016-07-14,2016,7,14,06:40:00,6,AUTOPISTA,13,-58.43233425,-34.55185825,PEATON,AUTO,PEATON,MASCULINO,35,2016-07-14 00:00:00,Jueves
67,2016-0090,1,2016-07-14,2016,7,14,22:00:00,22,AVENIDA,5,-58.41971993,-34.61112240,PEATON,PASAJEROS,PEATON,MASCULINO,60,2016-07-15 00:00:00,Jueves
68,2016-0092,1,2016-07-15,2016,7,15,11:00:00,11,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,CARGAS,CONDUCTOR,MASCULINO,24,2016-07-15 00:00:00,Viernes
69,2016-0093,1,2016-07-17,2016,7,17,03:30:00,3,AVENIDA,6,-58.44362126,-34.62301748,AUTO,AUTO,CONDUCTOR,MASCULINO,35,2016-07-19 00:00:00,Domingo
70,2016-0095,1,2016-07-23,2016,7,23,06:12:00,6,AVENIDA,11,-58.51713095,-34.59546519,MOTO,AUTO,CONDUCTOR,MASCULINO,29,2016-07-23 00:00:00,Sábado
71,2016-0096,1,2016-07-25,2016,7,25,07:00:00,7,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,CONDUCTOR,MASCULINO,SD,SD,Lunes
72,2016-0097,1,2016-07-26,2016,7,26,18:45:00,18,CALLE,1,-58.39038605,-34.61562810,PEATON,AUTO,PEATON,MASCULINO,80,2016-08-12 00:00:00,Martes
73,2016-0098,1,2016-07-27,2016,7,27,16:08:00,16,AVENIDA,3,-58.40042405,-34.62356174,MOTO,CARGAS,CONDUCTOR,FEMENINO,43,SD,Miércoles
74,2016-0099,1,2016-07-29,2016,7,29,16:00:00,16,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS,CARGAS,CONDUCTOR,MASCULINO,45,SD,Viernes
75,2016-0100,1,2016-08-03,2016,8,3,23:27:00,23,GRAL PAZ,12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,57,2016-08-03 00:00:00,Miércoles
76,2016-0101,1,2016-08-07,2016,8,7,19:42:00,19,GRAL PAZ,9,-58.52932872,-34.65014993,SD,SD,SD,MASCULINO,67,SD,Domingo
